ticker,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,pegRatio,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,grossMargins,debtToEquity,currentRatio,quickRatio,revenueGrowth,earningsGrowth,marketCap,trailingEps,forwardEps,bookValue,dividendYield,beta,sector,download_date
AMZN,34.940678,31.463036,7.152398,3.8253014,19.405,,0.24327,0.07495,0.11063,0.11057,0.50046,43.405,1.009,0.76,0.134,0.364,2644545634304,7.08,7.86256,34.587,,1.376,Consumer,2026-01-11
TSLA,302.7279,203.83104,18.497381,15.4760685,134.928,,0.06791,0.0235,0.05314,0.06628,0.17006999,17.082,2.066,1.486,0.116,-0.371,1480022818816,1.47,2.18323,24.058,,1.835,Consumer,2026-01-11
HD,25.572699,24.81847,30.7662,2.2441823,17.089,,1.62909,0.13226,0.087740004,0.12945,0.33355,544.586,1.051,0.246,0.028,-0.014,372958429184,14.65,15.09521,12.177,2.46,1.072,Consumer,2026-01-11
MCD,26.244236,23.203,-101.19197,8.350019,19.052,,,0.12968999,0.3204,0.46905997,0.57425,,1.0,0.821,0.03,0.016,219304919040,11.71,13.24484,-3.037,2.42,0.531,Consumer,2026-01-11
NKE,38.549706,28.33599,6.9258246,2.0980558,26.398,,0.17950001,0.0502,0.05426,0.08095,0.41132998,80.099,2.063,1.21,0.006,-0.321,97586872320,1.71,2.32637,9.518,2.49,1.284,Consumer,2026-01-11
SBUX,54.527607,29.666815,-12.47964,2.7179527,22.776,,,0.07266,0.04992,0.10976,0.23045999,,0.723,0.465,0.055,-0.854,101065449472,1.63,2.99594,-7.122,2.79,0.964,Consumer,2026-01-11
TGT,12.790302,13.704127,3.0823157,0.4555994,7.988,,0.25094998,0.052410003,0.03576,0.04626,0.27813998,132.062,0.975,0.18,-0.016,-0.184,47948193792,8.25,7.69987,34.234,4.32,1.124,Consumer,2026-01-11
LOW,22.120033,20.589664,-14.4391,1.7790262,15.616,,,0.13182001,0.08045,0.1192,0.3359,,1.04,0.094,0.032,-0.037,149891842048,12.08,12.97787,-18.506,1.8,0.957,Consumer,2026-01-11
PG,20.710949,19.346128,6.3145947,3.9094894,14.454,,0.31902,0.10746,0.19739,0.2758,0.51278996,67.125,0.714,0.465,0.03,0.214,332044664832,6.85,7.33325,22.467,2.98,0.388,Consumer,2026-01-11
KO,23.347683,21.887728,9.70811,6.366606,20.709,,0.42442,0.08959,0.2734,0.32373002,0.61632997,144.771,1.211,0.877,0.051,0.301,303451570176,3.02,3.22144,7.263,2.89,0.387,Consumer,2026-01-11
PEP,26.59886,16.335543,9.879254,2.0737891,13.731,,0.37162,0.08365,0.078200005,0.16903,0.54269004,260.19,0.912,0.676,0.027,-0.108,191547604992,5.26,8.56476,14.162,4.07,0.421,Consumer,2026-01-11
COST,49.511776,41.63701,13.548973,1.4644108,30.592,,0.30325,0.08524,0.02961,0.03659,0.12876001,26.968,1.038,0.488,0.083,0.114,410607583232,18.68,22.21293,68.262,0.56,1.008,Consumer,2026-01-11
WMT,40.045456,38.4374,9.5014105,1.298793,22.876,,0.23661,0.06539,0.03259,0.0373,0.24906999,66.747,0.803,0.196,0.058,0.352,913130651648,2.86,2.97965,12.054,0.82,0.661,Consumer,2026-01-11
DIS,16.916788,15.770191,1.8889884,2.2064555,12.944,,0.12203,0.04474,0.13136,0.11868,0.37764,39.632,0.71,0.554,-0.005,1.873,208344563712,6.85,7.34804,61.345,1.29,1.442,Consumer,2026-01-11
NFLX,37.274998,27.598845,14.605714,8.738625,29.826,,0.42861,0.14739999,0.24047,0.28219998,0.48084998,65.822,1.332,1.132,0.172,0.087,379070939136,2.4,3.24144,6.125,,1.711,Consumer,2026-01-11
BKNG,35.714073,20.624414,-37.464256,6.835849,18.157,,,0.20249,0.19371,0.44904998,0.86992997,,1.334,1.262,0.127,0.135,177998659584,153.78,266.2917,-146.596,0.7,1.234,Consumer,2026-01-11
CMG,35.495575,32.968933,16.506172,4.5627446,24.181,,0.44958,0.13583,0.13036,0.16134001,0.40191,154.574,1.542,1.415,0.075,0.022,53782896640,1.13,1.2166,2.43,,0.974,Consumer,2026-01-11
YUM,30.31579,23.349915,-5.760854,5.3567257,19.376,,,0.24031,0.17951,0.34410998,0.46173,,1.694,1.458,0.084,0.044,43180568576,5.13,6.66041,-26.996,1.83,0.669,Consumer,2026-01-11
ORLY,32.569443,28.372055,-88.82576,4.5442686,22.58,,,0.13656001,0.14225,0.20742,0.51474,,0.757,0.092,0.078,0.126,79357837312,2.88,3.30607,-1.056,,0.631,Consumer,2026-01-11
AZO,23.86585,19.560009,-17.574202,2.9502301,16.453,,,0.119619995,0.12776,0.16941999,0.52146,,0.86,0.097,0.082,-0.046,56903168000,143.35,174.90636,-194.67,,0.42,Consumer,2026-01-11
ROST,29.959312,26.770594,10.533151,2.8265462,20.234,,0.37425,0.10819,0.0947,0.11578,0.3259,88.181,1.52,0.85,0.104,0.068,62261317632,6.39,7.15113,18.175,0.85,1.012,Consumer,2026-01-11
TJX,34.836643,30.55645,18.72449,2.977888,23.265,,0.58396,0.12331,0.086789995,0.12489,0.30852,140.977,1.094,0.383,0.075,0.123,175632859136,4.53,5.16454,8.428,1.08,0.752,Consumer,2026-01-11
DHI,13.582038,11.872411,1.9145931,1.3411604,10.386,,0.14321,0.08158,0.10468,0.124680005,0.22516,24.514,6.421,0.642,-0.032,-0.222,45935280128,11.58,13.24752,82.148,1.14,1.42,Consumer,2026-01-11
LEN,14.943609,13.316331,1.3704534,0.8614778,9.327,,0.08406,0.04479,0.06079,0.078779995,0.18267,27.53,12.398,5.974,-0.058,-0.525,29451284480,7.98,8.95517,87.015,1.68,1.434,Consumer,2026-01-11
F,12.136752,9.608228,1.1938792,0.298436,19.398,,0.10295,0.00833,0.024820002,0.03146,0.07555,346.673,1.121,0.94,0.094,1.727,56579878912,1.17,1.4779,11.894,4.23,1.631,Consumer,2026-01-11
GM,15.814887,7.065689,1.1648862,0.42093894,12.169,,0.04442,0.02014,0.01625,0.056739997,0.100760005,195.437,1.229,0.979,-0.003,-0.496,78898692096,5.24,11.72851,71.14,0.72,1.317,Consumer,2026-01-11
MAR,34.618145,28.753214,-28.345137,12.959998,22.669,,,0.09641,0.37984002,0.65933996,0.81554,,0.467,0.43,0.056,0.29,89087025152,9.48,11.41368,-11.578,0.82,1.157,Consumer,2026-01-11
HLT,43.656975,32.87121,-14.192694,14.505707,29.638,,,0.09635,0.34188998,0.60327,0.77515,,0.664,0.577,0.035,0.29,70642794496,6.88,9.13748,-21.163,0.2,1.151,Consumer,2026-01-11
EXPE,28.575699,16.55991,27.268795,2.5511925,17.387,,0.53886,0.05079,0.096590005,0.25566998,0.89944,250.289,0.744,0.619,0.087,0.454,36660637696,10.37,17.89442,10.867,0.54,1.429,Consumer,2026-01-11
EBAY,20.157427,15.575182,8.746392,3.877718,16.373,,0.42430001,0.0785,0.20366,0.21418,0.71645,151.155,0.925,0.841,0.095,0.054,41545871360,4.51,5.83685,10.394,1.28,1.348,Consumer,2026-01-11
