ticker,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,pegRatio,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,grossMargins,debtToEquity,currentRatio,quickRatio,revenueGrowth,earningsGrowth,marketCap,trailingEps,forwardEps,bookValue,dividendYield,beta,sector,download_date
JPM,16.312685,15.659808,2.6344264,5.412886,,,0.16437,0.01323,0.347,0.43708,0.0,,,,0.088,0.16,905191489536,20.18,21.02133,124.957,1.82,1.066,Financials,2026-01-11
BAC,15.2595625,12.838106,1.4716344,4.1621723,,,0.09871,0.00881,0.29224002,0.35292998,0.0,,,,0.126,0.315,422231572480,3.66,4.35033,37.951,2.01,1.295,Financials,2026-01-11
WFC,15.807248,13.805874,1.836223,3.8872187,,,0.115200005,0.01064,0.26629,0.33717,0.0,,,,0.075,0.169,307370164224,6.07,6.94994,52.254,1.88,1.088,Financials,2026-01-11
GS,19.084959,16.857702,2.698071,4.957515,,,0.13532,0.009430001,0.29073998,0.37203997,0.82997,586.142,1.657,1.49,0.207,0.458,284249030656,49.2,55.70035,348.019,1.7,1.322,Financials,2026-01-11
MS,19.129364,17.517206,2.9582586,4.3400064,,,0.15135,0.01245,0.23606001,0.38872,0.86797,420.553,2.266,1.85,0.191,0.489,297429303296,9.74,10.6364,62.983,2.15,1.197,Financials,2026-01-11
BLK,27.930502,20.318771,3.0318525,7.356533,19.623,,0.120740004,0.034140002,0.26638,0.3214,0.47664002,24.32,2.256,1.661,0.252,-0.226,168354250752,38.85,53.40382,357.9,1.92,1.484,Financials,2026-01-11
SPGI,39.35657,27.254751,4.962548,11.021468,23.708,,0.119940005,0.06626,0.28091,0.44316003,0.69824,31.784,0.974,0.78,0.088,0.241,165454282752,13.77,19.88424,109.206,0.71,1.207,Financials,2026-01-11
C,17.039326,12.227595,1.1190953,2.962668,,,0.06995,0.0058399998,0.19488001,0.30606002,0.0,,,,0.116,0.232,223337742336,7.12,9.92182,108.409,1.98,1.166,Financials,2026-01-11
AXP,25.259583,21.580395,7.983379,4.0031295,,,0.33935001,0.03708,0.16143999,0.22052999,0.64135003,185.273,1.602,1.579,0.122,0.186,261380325376,14.87,17.40515,47.049,0.87,1.154,Financials,2026-01-11
USB,12.633867,11.240828,1.5199735,3.3028572,,,0.1172,0.01044,0.27632,0.39486,0.0,,,,0.072,0.185,85917220864,4.37,4.91156,36.323,3.69,1.09,Financials,2026-01-11
PNC,14.044545,12.195478,1.6034997,3.921439,,,0.11486,0.01163,0.29937,0.39788,0.0,,,,0.108,0.246,85483446272,15.49,17.83858,135.672,3.13,0.992,Financials,2026-01-11
SCHW,23.459017,17.605621,4.1991196,7.9353456,,,0.17046,0.01768,0.35930002,0.49242002,0.97342,99.789,0.59,0.59,0.266,0.775,181830516736,4.27,5.68966,23.855,1.08,0.937,Financials,2026-01-11
TFC,13.571045,11.365601,1.0839632,3.570635,,,0.07982,0.00982,0.28605,0.39318,0.0,,,,0.025,0.048,65271205888,3.73,4.45379,46.699,4.11,0.874,Financials,2026-01-11
BK,17.17749,14.387497,2.12617,4.254174,,,0.121520005,0.01194,0.26568002,0.37402,0.0,,,,0.1,0.253,83951869952,6.93,8.27385,55.988,1.78,1.109,Financials,2026-01-11
COF,85.34246,11.98814,1.4614036,5.517126,,,0.01615,0.0024899999,0.04899,0.38719,0.0,,,,0.679,0.095,159367708672,2.92,20.78721,170.521,1.28,1.131,Financials,2026-01-11
ICE,30.233152,22.139875,3.3028874,9.744696,18.673,,0.114930004,0.02189,0.32431,0.49067003,1.0,67.954,1.012,0.027,0.026,0.246,95010783232,5.49,7.49688,50.253,1.16,1.035,Financials,2026-01-11
CME,25.455868,22.519335,3.3501835,14.821684,21.325,,0.13346,0.01601,0.58946997,0.63386,1.0,13.372,1.021,0.021,-0.03,-0.004,94639415296,10.31,11.65443,78.339,1.91,0.291,Financials,2026-01-11
MCO,42.733925,32.336765,23.966908,12.711484,27.994,,0.54914004,0.13188,0.29916,0.46886003,0.7375,181.347,1.84,1.637,0.107,0.229,95348842496,12.44,16.4398,22.181,0.71,1.453,Financials,2026-01-11
AON,28.08647,18.434498,9.509094,4.4422016,16.957,,0.3769,0.05587,0.15962,0.20365,0.46758,214.88,1.058,0.222,0.074,0.344,75641806848,12.49,19.02954,36.891,0.85,0.835,Financials,2026-01-11
MMC,22.330132,18.033678,6.015069,3.456961,14.262,,0.28734,0.078779995,0.15601,0.19240999,0.43953,139.501,1.123,0.52,0.115,0.0,91446984704,8.33,10.31459,30.924,1.94,0.752,Financials,2026-01-11
MET,14.954803,8.02409,1.8127655,0.7341617,12.542,,0.12798001,0.0043599997,0.053400002,0.0701,0.24260001,163.999,1.891,1.626,-0.059,-0.326,52809719808,5.31,9.89645,43.806,2.86,0.756,Financials,2026-01-11
PRU,16.175343,7.8916874,1.2874244,0.7215081,16.368,,0.085,0.0026699998,0.04538,0.09917,0.28004,148.723,0.841,0.732,-0.083,2.234,41557422080,7.3,14.96258,91.718,4.57,0.961,Financials,2026-01-11
AFL,14.354795,14.8691,2.0018325,3.3006606,11.659,,0.1558,0.02645,0.23552,0.4327,0.48172,50.003,1.089,0.993,0.607,,58424991744,7.61,7.34678,54.57,2.23,0.664,Financials,2026-01-11
ALL,6.8832307,8.805811,2.1800008,0.8365268,5.557,,0.34469002,0.05093,0.12533,0.24439,0.28204,29.43,0.426,0.288,0.038,2.222,55918469120,30.83,24.09886,97.344,1.88,0.24,Financials,2026-01-11
TRV,11.100787,10.568429,1.9892199,1.3114357,7.734,,0.19809,0.034560002,0.121350005,0.19687,0.28395998,29.318,0.338,0.205,0.048,0.52,63478734848,25.4,26.67946,141.744,1.56,0.531,Financials,2026-01-11
CB,12.821145,11.675928,1.6837062,2.078824,11.376,,0.1364,0.029679999,0.16442,0.25623,0.29035,30.958,0.38,0.176,0.091,0.226,122322173952,23.93,26.27714,182.223,1.26,0.513,Financials,2026-01-11
AIG,13.566547,9.603375,0.9996554,1.5408742,4.687,,0.07688,0.017819999,0.120170005,0.15235,0.34012002,22.48,0.617,0.214,-0.041,0.323,41788510208,5.56,7.85453,75.456,2.39,0.624,Financials,2026-01-11
CINF,12.1182165,19.023022,1.6504315,2.110266,8.782,,0.14529,0.04305,0.17569,0.38272,0.23224,5.732,1.118,0.929,0.122,0.367,25487792128,13.45,8.56804,98.756,2.14,0.673,Financials,2026-01-11
L,15.156522,36.06207,1.1831789,1.1875974,8.776,,0.08182,0.01704,0.07949,0.16677,0.36587003,49.123,0.493,0.493,0.046,0.334,21692653568,6.9,2.9,88.389,0.24,0.609,Financials,2026-01-11
WRB,14.378151,14.794,2.6532276,1.7748486,9.718,,0.20887,0.03825,0.13007,0.17723,0.43851003,31.481,0.399,0.243,0.108,0.407,26008651776,4.76,4.6262,25.795,0.53,0.388,Financials,2026-01-11
