ticker,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,pegRatio,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,grossMargins,debtToEquity,currentRatio,quickRatio,revenueGrowth,earningsGrowth,marketCap,trailingEps,forwardEps,bookValue,dividendYield,beta,sector,download_date
CAT,31.737925,27.588676,13.991345,4.47406,23.208,,0.46283,0.08201,0.14339,0.17746,0.3012,201.046,1.384,0.784,0.095,-0.036,289341931520,19.46,22.38672,44.143,0.98,1.568,Industrials,2026-01-11
HON,21.875528,19.646332,7.845496,3.4361224,16.107,,0.34616002,0.066589996,0.1507,0.18505,0.36944,215.247,1.358,0.985,0.07,0.324,139747098624,9.48,10.55566,26.433,2.21,0.942,Industrials,2026-01-11
UPS,16.7017,15.121027,5.791307,1.0245136,9.834,,0.33618,0.07118,0.061490003,0.10175,0.21691,184.32,1.305,1.174,-0.037,-0.141,91676549120,6.47,7.14634,18.659,6.07,1.097,Industrials,2026-01-11
BA,,103.4238,-21.579866,2.274152,-34.4,,,-0.035099998,-0.12197,-0.204,0.01195,,1.182,0.335,0.304,,183653695488,-13.7,2.26766,-10.868,,1.163,Industrials,2026-01-11
GE,42.935917,44.531372,18.03241,7.7594247,30.916,,0.42131,0.049289998,0.18344,0.20598,0.32459998,115.246,1.077,0.717,0.238,0.193,341026701312,7.49,7.22165,17.834,0.45,1.403,Industrials,2026-01-11
RTX,38.786007,27.974083,3.9175344,2.9391952,20.008,,0.10702,0.03787,0.07666,0.12399,0.20127001,61.315,1.073,0.665,0.119,0.294,252735520768,4.86,6.73838,48.117,1.44,0.438,Industrials,2026-01-11
DE,26.382702,21.687239,5.084908,2.8929389,22.029,,0.20427999,0.03875,0.11017,0.12385,0.26957,248.418,2.262,2.026,0.126,-0.137,131999006720,18.5,22.5054,95.986,1.33,1.01,Industrials,2026-01-11
LMT,30.212576,18.717854,20.202425,1.7280787,19.891,,0.62776,0.06391,0.05726,0.11693,0.08252,358.987,1.129,0.926,0.088,0.022,126752841728,17.97,29.00546,26.874,2.54,0.245,Industrials,2026-01-11
MMM,26.396166,19.11372,18.966944,3.5452864,15.552,,0.72920996,0.07971,0.137,0.24367,0.40979,281.904,1.842,1.027,0.035,-0.375,88011735040,6.26,8.6451,8.712,1.77,1.159,Industrials,2026-01-11
UNP,19.375742,18.099234,7.83026,5.5203156,13.434,,0.41619,0.09198,0.2873,0.41030997,0.56144,189.829,0.748,0.527,0.025,0.095,135501676544,11.79,12.62153,29.174,2.42,0.997,Industrials,2026-01-11
WM,34.84385,26.439379,9.349501,3.59092,15.416,,0.29328,0.07051,0.10345,0.18872999,0.39993998,245.399,0.843,0.731,0.149,-0.207,88997355520,6.34,8.35534,23.628,1.49,0.594,Industrials,2026-01-11
ETN,32.483486,23.86926,6.6889973,4.743429,22.365,,0.20653,0.080290005,0.14741,0.19791001,0.38265,59.661,1.28,0.708,0.101,0.024,126331748352,9.99,13.59531,48.514,1.28,1.19,Industrials,2026-01-11
