feature,importance
returns,0.055012658235425616
volatility,0.05421707201664188
volume_change,0.048088949557966255
macd_hist,0.04374293665479545
rsi_14,0.04363763251627013
macd_signal,0.043305199091943275
macd,0.03815511213348328
volume,0.03766822369747603
returnOnAssets,0.03713783298167875
beta,0.03588014427305062
debtToEquity,0.03560360665300929
currentRatio,0.035373266619605916
priceToBook,0.03516135523175545
returnOnEquity,0.0344070939735812
trailingPE,0.03404155006865229
operatingMargins,0.032948374016748556
forwardPE,0.032270935703823306
grossMargins,0.03159723889586905
profitMargins,0.03105731412400808
sma_12,0.029770953391484712
close,0.02755698021777002
low,0.027081057042944893
open,0.026689584157991445
sma_6,0.026206851778458322
ema_12,0.026186711224737782
high,0.025800390264619836
ema_6,0.024565323213937885
ema_3,0.02388855369655758
sma_3,0.02294709856571299
