feature,importance
volume,0.4995132094774932
sma_12,0.07344662313278323
ema_12,0.07296479671481372
macd_signal,0.06888997531851945
volume_change,0.06652962359389329
rsi_14,0.03705957146743285
sma_6,0.032597200632671644
ema_6,0.02898584134018776
low,0.018473958503967873
macd,0.01845500301775452
macd_hist,0.01758789349707011
returns,0.015168264023527432
high,0.012090267914671996
volatility,0.010926862867914399
close,0.010611846379052407
sma_3,0.0072531047616750275
open,0.005118612343390038
ema_3,0.004327345013181079
