model,train_days,total_pnl_pips,total_trades,test_days,profitable_days,avg_daily_pnl,win_rate_days
RandomForest,8,-37.606785714207824,1070,10,0,-3.760678571420782,0.0
XGBoost,8,-143.9153571427507,1134,10,3,-14.39153571427507,0.3
LightGBM,8,-212.90142857135714,1135,10,4,-21.290142857135713,0.4
LogisticReg,8,-800.2574999999811,2529,10,0,-80.02574999999811,0.0
MomentumRule,8,-2664.096428571313,10310,10,0,-266.4096428571313,0.0
RandomForest,10,0.0,0,10,0,0.0,0.0
XGBoost,10,-12.88321428572992,81,10,3,-1.288321428572992,0.3
LightGBM,10,9.210714285704707,111,10,3,0.9210714285704708,0.3
LogisticReg,10,-795.8767857143143,2498,10,2,-79.58767857143144,0.2
MomentumRule,10,-3123.7328571428484,10302,10,0,-312.37328571428486,0.0
RandomForest,12,0.0,0,10,0,0.0,0.0
XGBoost,12,-23.264285714308127,69,10,1,-2.326428571430813,0.1
LightGBM,12,-12.437142857129409,68,10,3,-1.2437142857129408,0.3
LogisticReg,12,-979.0250000000063,3180,10,2,-97.90250000000063,0.2
MomentumRule,12,-3496.2189285714917,11492,10,0,-349.6218928571492,0.0
